№,Полное наименование,Аббвеатура,Должность,Стадия
1,Генеральный план,ГП,Ведущий архитектор,П/Р
2,Генплан и транспорт (при объединении ГП и ТР),ГТ,Ведущий архитектор,П/Р
3,Архитектурные решения,АР,Архитектор,П/Р
4,Архитектурно-строительные решения (при объединении АР и КР),АС,Архитектор,П/Р
5,Интерьеры,АИ,Руководитель направления архитектуры,П/Р
6,Конструктивные решения. Железобетонные конструкции,КЖ,Руководитель направления архитектуры,П/Р
7,Конструктивные решения. Железобетонные конструкции. Фундаменты,КЖ0,Руководитель направления архитектуры,П/Р
8,Конструктивные решения. Металлические конструкции,КМ,Руководитель направления архитектуры,П/Р
9,Конструктивные решения. Металлические конструкции деталировочные,КМД,Руководитель направления архитектуры,П/Р
10,Конструктивные решения. Деревянные конструкции,КД,Руководитель направления архитектуры,П/Р
11,Конструктивные решения. Статический расчет,КРР,Руководитель направления архитектуры,П/Р
12,Гидротехнические решения,ГР,Ведущий инженер-проектировщик,П/Р
13,Система электроснабжения. Наружное электроснабжение,ЭС,Ведущий инженер-проектировщик,П/Р
14,Система электроснабжения. Силовое электрооборудование,ЭМ,Ведущий инженер-проектировщик,П/Р
15,Система электроснабжения. Электроосвещение,ЭО,Ведущий инженер-проектировщик,П/Р
16,Система электроснабжения. Электроосвещение наружное,ЭН,Ведущий инженер-проектировщик,П/Р
17,Электроснабжение инженерных систем,ЭИС,Ведущий инженер-проектировщик,П/Р
18,Система водоснабжения. Наружные сети,НВ,Моделлер-координатор,П/Р
19,Система водоотведения. Наружные сети,НК,Моделлер-координатор,П/Р
20,Система водоснабжения и водоотведения. Наружные сети,НВК,Моделлер-координатор,П/Р
21,Система водоснабжения и водоотведения. Внутренние сети,ВК,Моделлер-координатор,П/Р
22,"Отопление, вентиляция и кондиционирование воздуха",ОВиК,Моделлер-координатор,П/Р
23,Теплоснабжение,ТС,Моделлер-координатор,П/Р
24,"Тепломеханические решения (Котельная, ИТП, и т. п.)",ТМ,Ведущий инженер-проектировщик,П/Р
25,"Телефония, Радиофикация, Телеприем",РТ,Ведущий инженер-проектировщик,П/Р
26,Структурированные кабельные сети,СКС,Ведущий инженер-проектировщик,П/Р
27,Автоматизация инженерных систем,АИС,Ведущий инженер-проектировщик,П/Р
28,Автоматизация технологических процессов,АТП,Ведущий инженер-проектировщик,П/Р
29,Комплексная автоматизация (при объединении АИС и АТП),АК,Ведущий инженер-проектировщик,П/Р
30,Видеонаблюдение,ВН,Ведущий инженер-проектировщик,П/Р
31,Охранная сигнализация,ОС,Ведущий инженер-проектировщик,П/Р
32,Система контроля и учета доступа,СКУД,Ведущий инженер-проектировщик,П/Р
33,Наружное газоснабжение,ГСН,Моделлер-координатор,П/Р
34,Внутреннее газоснабжение,ГСВ,Моделлер-координатор,П/Р
35,Технологические решения,ТХ,Моделлер-координатор,П/Р
36,Технологические коммуникации,ТК,Моделлер-координатор,П/Р
37,Воздухоснабжение,ВС,Моделлер-координатор,П/Р
38,Холодоснабжение,ХС,Моделлер-координатор,П/Р
39,Снабжение паром,ПС,Моделлер-координатор,П/Р
40,Пылеудаление,ПУ,Моделлер-координатор,П/Р
41,Автоматическая установка пожарной сигнализации,АУПС,Ведущий инженер-проектировщик,П/Р
42,Система оповещения и управления эвакуацией людей при пожаре,СОУЭ,Ведущий инженер-проектировщик,П/Р
43,Автоматика противопожарной защиты,АППЗ,Ведущий инженер-проектировщик,П/Р
44,"Спецпожаротушение (водяное, порошковое и т. д.)",ПТ,Моделлер-координатор,П/Р
45,Смета на строительство объектов капитального строительства,СД1,Общий итог,П/Р
46,Мониторинг цен на материалы,СД2,Общий итог,П/Р
47,Антикоррозийная защита,АЗ,Моделлер-координатор,П/Р
48,Тепловая изоляция оборудования и трубопроводов,ТИ,Моделлер-координатор,П/Р
49,Пояснительная записка,ПЗ,Ведущий инженер-проектировщик,П/Р
50,Схема планировки земельного участка,СПОЗУ,Ведущий инженер-проектировщик,П/Р
51,Раздел архитектурных решений,АР,Ведущий инженер-проектировщик,П/Р
52,Конструктивные и объемно-планировочные решения,КР,Ведущий инженер-проектировщик,П/Р
53,Данные об инженерно-техническом обеспечении,ИОС,Ведущий инженер-проектировщик,П/Р
54,Проект организации строительства,ПОС,Ведущий инженер-проектировщик,П/Р
55,Проект организации работ по сносу и демонтажу,ПОД,Ведущий инженер-проектировщик,П/Р
56,Список мероприятий по охране окружающей среды,ПМООС,Ведущий инженер-проектировщик,П/Р
57,Перечень мер по пожарной безопасности,МПБ,Ведущий инженер-проектировщик,П/Р
58,Меры обеспечения доступа на объект инвалидов,ОДИ,Ведущий инженер-проектировщик,П/Р
59,Смета на строительство объектов капитального строительства,СМ,Ведущий инженер-проектировщик,П/Р